PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1783691	ABCC13	60.74845	0.3827684	58.74203	0.3559322	79.06482	0.01129944	67.32806	0.1073446	61.87297	0.3615819	69.85558	0.2175141	63.65788	0.2584746	64.07208	0.2570621						
ILMN_1678409	ABCC13	58.09404	0.5720339	57.64887	0.4279661	63.87443	0.4096045	52.77182	0.8884181	57.79631	0.6299435	66.67026	0.3785311	62.93143	0.3107345	51.93993	0.9223164						
ILMN_1780706	ABCC2	75.33753	0.01271186	70.79538	0.02118644	90.0378	0.004237288	75.72503	0.007062147	70.70628	0.05225989	75.67903	0.0720339	67.59013	0.1228814	63.61087	0.2782486						
ILMN_1677814	ABCC3	107.9211	0	105.4704	0	112.3279	0	89.21612	0.001412429	410.3763	0	451.9094	0	364.5291	0	415.0278	0						
ILMN_1717466	ABCC3	63.38678	0.2542373	65.72041	0.0720339	64.01958	0.4025424	64.38784	0.2189265	75.05089	0.01977401	67.42118	0.3403955	70.0168	0.07768361	66.0573	0.1793785						
ILMN_1788457	ABCC4	132.1934	0	126.8676	0	171.9923	0	131.3994	0	297.0969	0	313.4941	0	244.1793	0	341.3116	0						
ILMN_1706531	ABCC5	353.3495	0	323.9237	0	421.4907	0	325.5669	0	212.9662	0	254.6387	0	221.6296	0	249.4279	0						
ILMN_1720535	ABCC5	61.30795	0.3488701	57.74258	0.4194915	70.99287	0.1031073	57.02993	0.6765537	58.21796	0.6059322	66.87256	0.3714689	58.20513	0.6271186	61.57817	0.3644068						
ILMN_1651964	ABCC5	514.8785	0	589.2684	0	785.8061	0	522.9734	0	210.4678	0	247.7718	0	189.2137	0	233.1174	0						
ILMN_1778352	ABCC6	65.31779	0.1680791	58.55148	0.3700565	67.65034	0.2161017	59.8214	0.470339	78.04256	0.01129944	82.37691	0.01129944	77.80624	0.01129944	82.88593	0.002824859						
ILMN_1801521	ABCC6	53.80219	0.8531073	47.13222	0.9661017	61.74728	0.5466102	60.22074	0.4378531	58.06876	0.6129944	63.4049	0.5889831	54.24099	0.8516949	55.64485	0.7542373						
ILMN_1767129	ABCC8	78.76372	0.009887005	70.6209	0.02118644	88.49275	0.004237288	70.84577	0.04378531	76.33276	0.01553672	92.15847	0.004237288	69.74156	0.08050848	72.68446	0.04519774						
ILMN_1746196	ABCC9	60.19979	0.4180791	65.68568	0.0720339	66.11721	0.2980226	62.96796	0.299435	75.5845	0.01694915	73.06308	0.1129944	66.97469	0.1355932	62.09254	0.3347458						
ILMN_1673243	ABCC9	61.90516	0.3135593	53.90573	0.6920904	63.86338	0.4096045	64.10376	0.2387006	75.09614	0.01836158	89.35344	0.004237288	72.13464	0.04378531	74.72943	0.02542373						
ILMN_1772189	ABCD1	72.65196	0.03389831	75.97502	0.007062147	94.67521	0.001412429	80.87405	0.002824859	95.6928	0.001412429	99.06365	0.002824859	88.68038	0.001412429	98.98812	0.001412429						
ILMN_1652959	ABCD2	59.00523	0.5070621	59.51006	0.3022599	63.85883	0.4096045	57.30059	0.6567796	61.46286	0.3785311	59.00661	0.8248588	65.44556	0.1793785	59.01587	0.539548						
ILMN_1674032	ABCD3	114.1851	0	111.6043	0	144.4404	0	126.5212	0	120.9713	0	151.4967	0	122.4067	0	153.5504	0						
ILMN_1717701	ABCD4	98.84887	0	94.63103	0	108.8599	0	94.92243	0.001412429	75.88779	0.01553672	90.22694	0.004237288	86.89752	0.001412429	83.35955	0.002824859						
ILMN_1737656	ABCD4	55.31803	0.7641243	55.05272	0.6045198	60.0774	0.6412429	54.73104	0.8149717	57.31021	0.6723164	64.56934	0.509887	59.89255	0.5028248	57.99365	0.6172317						
ILMN_1746032	ABCD4	68.43827	0.08474576	76.22748	0.007062147	83.10237	0.004237288	68.76112	0.07485875	78.91246	0.01129944	81.38656	0.01836158	70.99478	0.05649718	71.22668	0.06355932						
